Username,ProfileLink,DisplayName,Races,Points,Team
3b9c9a1c544aa5bd8e79f9756a56402a,https://www.nitromath.com/racer/3b9c9a1c544aa5bd8e79f9756a56402a,LINCOLN_S,39,513,CC
c9353d07c789b8a014b561216d6122a2,https://www.nitromath.com/racer/c9353d07c789b8a014b561216d6122a2,Jace the goat,27,509,TOSONT
rgodw0,https://www.nitromath.com/racer/rgodw0,thefoxking,30,500,CC
fa31c0cff05d3d223615252125206353,https://www.nitromath.com/racer/fa31c0cff05d3d223615252125206353,jaceyonwedlowgta6,24,497,EVSC
littleballerinagirl,https://www.nitromath.com/racer/littleballerinagirl,Jesus is the messiah,20,486,ML
bryansniketec,https://www.nitromath.com/racer/bryansniketec,bryansniketec,28,476,NFL881
a8f01e87dfaea5d8006f19ffbc4c110a,https://www.nitromath.com/racer/a8f01e87dfaea5d8006f19ffbc4c110a,SYATFL J COLE CISI,36,461,TOSONT
2slow4race,https://www.nitromath.com/racer/2slow4race,2Slow4Race,23,460,SAVVEE
gv24kylep65234,https://www.nitromath.com/racer/gv24kylep65234,gv24kylep65234,26,457,ML
ca8a3039a5bdf5479265079af31f1441,https://www.nitromath.com/racer/ca8a3039a5bdf5479265079af31f1441,forntinging,37,456,PIGGY
lucaszelazowski,https://www.nitromath.com/racer/lucaszelazowski,GottaGoFaster,20,448,TOSONT
theneedfornitro,https://www.nitromath.com/racer/theneedfornitro,1Kprofilepageviews,20,446,IM2
starlight146,https://www.nitromath.com/racer/starlight146,l i l y,22,442,PNKYPI
kiwicar44,https://www.nitromath.com/racer/kiwicar44, pine  ,33,438,A3
cbddecfe72c7e55c942559f74df9b211,https://www.nitromath.com/racer/cbddecfe72c7e55c942559f74df9b211,YANXZI,21,436,KINGS
kingbarnabas,https://www.nitromath.com/racer/kingbarnabas,GREEK FR34K,20,433,FASZ
0ba0b15e4e6ceef7415a049fbf33e746,https://www.nitromath.com/racer/0ba0b15e4e6ceef7415a049fbf33e746,Patrick mahomes,42,428,ML
871a38a38705ab93defb3543b8016c4f,https://www.nitromath.com/racer/871a38a38705ab93defb3543b8016c4f,JIMMY COOKS,23,402,T2WIN
brother_hok,https://www.nitromath.com/racer/brother_hok,brother_hok,21,397,BAG
