Username,ProfileLink,DisplayName,Races,Points,Title,Team
4a86de291930c520d1143edf5cc8bd84,https://www.nitromath.com/racer/4a86de291930c520d1143edf5cc8bd84,SWAMP IZZO,78,1401,Epic Nitro User,KINGH
worksmarternotharder,https://www.nitromath.com/racer/worksmarternotharder,Serendipity,55,1385,404 Not Found,WL
f097e64638c132ebe48b53544a457969,https://www.nitromath.com/racer/f097e64638c132ebe48b53544a457969,Jesus_is_Him,69,1367,Champion Chaser,X3
scottisawesome14,https://www.nitromath.com/racer/scottisawesome14,PatrioticScott14,62,1361,Great Scott!,X3
brother_hok,https://www.nitromath.com/racer/brother_hok,"no,iwaont",64,1347,Yo,BAG
614cfded24fb392d378e4cb71058d018,https://www.nitromath.com/racer/614cfded24fb392d378e4cb71058d018,coderedbeasty,61,1338,Wampus Thwamper,TMS
skycloud2000,https://www.nitromath.com/racer/skycloud2000,PrinceWarrior2000,373,1328,Novice Navigator,WL
3eee4e1bca85dd452061103316b05d59,https://www.nitromath.com/racer/3eee4e1bca85dd452061103316b05d59,Colton,79,1327,Raw Racing Recruit,COBRAS
demaurya,https://www.nitromath.com/racer/demaurya,PrinceWarriorxPC4,363,1322,Tilted Typist,WL
megalodono,https://www.nitromath.com/racer/megalodono,PrinceWarrior,327,1317,Tilted Typist,WL
megamonster38,https://www.nitromath.com/racer/megamonster38,MArshKING457,73,1298,Mystery Man,WINNR
no7_z3n1x,https://www.nitromath.com/racer/no7_z3n1x,No7_ B4nD1to_N X F,79,1291,NITRO.EXE,NMGDS
mermaid9898889,https://www.nitromath.com/racer/mermaid9898889,mermaid9898889,97,1287,Tilted Typist,CC
jyaperez07,https://www.nitromath.com/racer/jyaperez07,jyaperez07,70,1284,Epic Word Skippage,WL
allaloneforever123,https://www.nitromath.com/racer/allaloneforever123,PrinceWarrior,355,1280,League Champion,WL
33aea573053594e92bf0e9948090757e,https://www.nitromath.com/racer/33aea573053594e92bf0e9948090757e,KITTYUH,64,1270,Top Tier,TCLIP
